Chart Recorder Data File Thu, Feb 02, 2023 2:59 PM
Time (s)	Position (m)  
14:07:52.400	0.159000
14:07:54.400	0.158000
14:07:55.399	0.158000
14:07:56.400	0.158000
14:07:57.400	0.158000
14:07:58.399	0.158000
14:07:59.400	0.158000
14:08:00.399	0.158000
14:08:01.399	0.157000
14:08:02.399	0.157000
14:08:03.399	0.157000
14:08:04.400	0.157000
14:08:05.399	0.157000
14:08:06.400	0.156000
14:08:07.399	0.156000
14:08:08.399	0.156000
14:08:09.400	0.156000
14:08:10.400	0.155000
14:08:11.399	0.155000
14:08:12.400	0.155000
14:08:13.400	0.155000
14:08:14.400	0.154000
14:08:15.400	0.154000
14:08:16.400	0.154000
14:08:17.399	0.154000
14:08:18.399	0.153000
14:08:19.399	0.153000
14:08:20.400	0.153000
14:08:21.400	0.152000
14:08:22.399	0.152000
14:08:23.399	0.152000
14:08:24.400	0.152000
14:08:25.399	0.151000
14:08:26.399	0.151000
14:08:27.400	0.151000
14:08:28.400	0.150000
14:08:29.399	0.150000
14:08:30.400	0.150000
14:08:31.400	0.149000
14:08:32.400	0.149000
14:08:33.399	0.149000
14:08:34.399	0.148000
14:08:35.399	0.148000
14:08:36.399	0.148000
14:08:37.400	0.147000
14:08:38.399	0.147000
14:08:39.400	0.147000
14:08:40.399	0.146000
14:08:41.401	0.146000
14:08:42.399	0.145000
14:08:43.399	0.145000
14:08:44.399	0.145000
14:08:45.399	0.145000
14:08:46.400	0.144000
14:08:47.400	0.144000
14:08:48.399	0.144000
14:08:49.400	0.143000
14:08:50.399	0.143000
14:08:51.399	0.143000
14:08:52.399	0.142000
14:08:53.399	0.142000
14:08:54.400	0.142000
14:08:55.399	0.141000
14:08:56.400	0.141000
14:08:57.399	0.141000
14:08:58.399	0.140000
14:08:59.400	0.140000
14:09:00.404	0.140000
14:09:01.408	0.139000
14:09:02.399	0.139000
14:09:03.399	0.139000
14:09:04.399	0.139000
14:09:05.399	0.139000
14:09:06.399	0.138000
14:09:07.399	0.138000
14:09:08.399	0.138000
14:09:09.399	0.137000
14:09:10.399	0.137000
14:09:11.399	0.137000
14:09:12.399	0.137000
14:09:13.400	0.136000
14:09:14.400	0.136000
14:09:15.400	0.136000
14:09:16.399	0.136000
14:09:17.400	0.135000
14:09:18.400	0.135000
14:09:19.400	0.135000
14:09:20.400	0.135000
14:09:21.399	0.135000
14:09:22.399	0.134000
14:09:23.400	0.134000
14:09:24.400	0.134000
14:09:25.399	0.134000
14:09:26.399	0.133000
14:09:27.400	0.133000
14:09:28.399	0.133000
14:09:29.399	0.133000
14:09:30.400	0.133000
14:09:31.400	0.133000
14:09:32.400	0.132000
14:09:33.399	0.132000
14:09:34.400	0.132000
14:09:35.399	0.132000
14:09:36.399	0.132000
14:09:37.400	0.132000
14:09:38.400	0.132000
14:09:39.400	0.131000
14:09:40.399	0.131000
14:09:41.400	0.131000
14:09:42.400	0.131000
14:09:43.400	0.131000
14:09:44.399	0.131000
14:09:45.399	0.130000
14:09:46.399	0.130000
14:09:47.400	0.130000
14:09:48.399	0.130000
14:09:49.399	0.130000
14:09:50.400	0.130000
14:09:51.400	0.130000
14:09:52.400	0.130000
14:09:53.399	0.130000
14:09:54.400	0.130000
14:09:55.400	0.130000
14:09:56.400	0.129000
14:09:57.399	0.129000
14:09:58.399	0.129000
14:09:59.399	0.129000
14:10:00.400	0.129000
14:10:01.400	0.129000
14:10:02.399	0.129000
14:10:03.399	0.129000
14:10:04.399	0.129000
14:10:05.400	0.129000
14:10:06.399	0.129000
14:10:07.400	0.129000
14:10:08.399	0.129000
